Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","2013","2013","tonnes","439893.682","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","2014","2014","tonnes","458105","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","2015","2015","tonnes","469840","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","7245","Biomass burned (dry matter)","56","Maize","2016","2016","tonnes","488098","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","1961","1961","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","1962","1962","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","1963","1963","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","1964","1964","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","1965","1965","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","1966","1966","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","1967","1967","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","1968","1968","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","1969","1969","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","1970","1970","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","1971","1971","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","1972","1972","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","1973","1973","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","1974","1974","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","1975","1975","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","1976","1976","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","1977","1977","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","1978","1978","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","1979","1979","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","1980","1980","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","1981","1981","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","1982","1982","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","1983","1983","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","1984","1984","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","1985","1985","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","1986","1986","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","1987","1987","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","1988","1988","g N20/kg dry matter","0.0001","Fc","Calculated data",""
