"Period"	"Cattle"	"Cattle"	"Sheep"	"Sheep"	"Goat"	"Goat"	"Sheep·Goat"	"Sheep·Goat"	"Pig"	"Pig"	"Fish"	"Chicken"	"Duck"	"Milk"	"Egg"	"Egg"
"Period"	"Number slaughtered (thou. No.)"	"Beef production (thou. Viss)"	"Number slaughtered (thou. No.)"	"Mutton production (thou. Viss)"	"Number slaughtered (thou. No.)"	"Meat production (thou. Viss)"	"Number slaughtered"	"Mutton production"	"Number slaughtered (thou. No.)"	"Pork production (thou. Viss)"	"Production (thou. Viss)"	"Production (thou. Viss)"	"Production (thou. Viss)"	"production (thou. Viss)"	"Hen Egg (thou. No.)"	"Duck Egg (thou. No.)"
"2007. 12"	"2543"	"254"	"5688"	"57"	"8433"	"84"	"-"	"-"	"23309"	"1165"	"13256"	"1014"	"22"	"-"	"-"	"-"
"2008. 01"	"2798"	"280"	"7382"	"74"	"8393"	"84"	"-"	"-"	"22433"	"1122"	"15222"	"972"	"26"	"-"	"-"	"-"
"2008. 02"	"3152"	"315"	"7323"	"73"	"9276"	"93"	"-"	"-"	"21629"	"1081"	"13136"	"942"	"31"	"-"	"-"	"-"
"2008. 03"	"3458"	"346"	"7440"	"74"	"9344"	"93"	"-"	"-"	"22781"	"1139"	"13047"	"906"	"31"	"-"	"-"	"-"
"2008. 04"	"3011"	"301"	"6241"	"62"	"7551"	"76"	"-"	"-"	"19606"	"980"	"8941"	"867"	"30"	"-"	"-"	"-"
"2008. 05"	"3504"	"350"	"6959"	"70"	"6872"	"69"	"-"	"-"	"20218"	"1011"	"6253"	"793"	"29"	"-"	"-"	"-"
"2008. 06"	"4351"	"435"	"6764"	"68"	"9177"	"92"	"-"	"-"	"22539"	"1127"	"5249"	"858"	"39"	"-"	"-"	"-"
"2008. 07"	"4369"	"437"	"7068"	"71"	"8343"	"83"	"-"	"-"	"23317"	"1166"	"6713"	"977"	"50"	"-"	"-"	"-"
"2008. 08"	"4172"	"417"	"7930"	"79"	"5383"	"54"	"-"	"-"	"23687"	"1184"	"7761"	"952"	"47"	"-"	"-"	"-"
"2008. 09"	"4127"	"413"	"8132"	"81"	"7619"	"76"	"-"	"-"	"22031"	"1102"	"8278"	"880"	"47"	"-"	"-"	"-"
"2008. 10"	"3756"	"376"	"7791"	"78"	"9319"	"93"	"-"	"-"	"21143"	"1057"	"9010"	"896"	"45"	"-"	"-"	"-"
"2008. 11"	"3179"	"318"	"8204"	"82"	"8107"	"81"	"-"	"-"	"21011"	"1051"	"9026"	"987"	"32"	"-"	"-"	"-"
"2008. 12"	"1913"	"191"	"6039"	"60"	"6717"	"67"	"-"	"-"	"21747"	"1087"	"10140"	"1003"	"29"	"-"	"-"	"-"
"2009. 01"	"3668"	"367"	"7916"	"79"	"8402"	"84"	"-"	"-"	"23155"	"1158"	"14172"	"990"	"41"	"-"	"-"	"-"
"2009. 02"	"4272"	"427"	"9013"	"90"	"10581"	"106"	"-"	"-"	"21150"	"1058"	"12663"	"757"	"37"	"-"	"-"	"-"
"2009. 03"	"4821"	"482"	"9657"	"97"	"12857"	"129"	"-"	"-"	"22750"	"1138"	"13498"	"804"	"41"	"-"	"-"	"-"
"2009. 04"	"4149"	"415"	"9659"	"97"	"12893"	"129"	"-"	"-"	"22398"	"1120"	"10820"	"810"	"37"	"-"	"-"	"-"
"2009. 05"	"5415"	"542"	"13431"	"134"	"16362"	"164"	"-"	"-"	"22306"	"1115"	"10082"	"878"	"46"	"-"	"-"	"-"
"2009. 06"	"5718"	"572"	"13069"	"131"	"14968"	"150"	"-"	"-"	"23508"	"1175"	"8702"	"989"	"51"	"-"	"-"	"-"
"2009. 07"	"5949"	"595"	"12521"	"125"	"14064"	"141"	"-"	"-"	"22703"	"1135"	"10253"	"1380"	"57"	"-"	"-"	"-"
"2009. 08"	"6081"	"608"	"12868"	"129"	"11887"	"119"	"-"	"-"	"24174"	"1209"	"9381"	"1388"	"61"	"-"	"-"	"-"
"2009. 09"	"6656"	"666"	"10938"	"109"	"9939"	"99"	"-"	"-"	"23587"	"1179"	"9715"	"1469"	"60"	"-"	"-"	"-"
"2009. 10"	"6608"	"661"	"11350"	"114"	"10473"	"105"	"-"	"-"	"23122"	"1156"	"9936"	"1586"	"57"	"-"	"-"	"-"
"2009. 11"	"3978"	"398"	"8628"	"86"	"10586"	"106"	"-"	"-"	"21943"	"1097"	"11812"	"1371"	"48"	"-"	"-"	"-"
"2009. 12"	"5128"	"513"	"10681"	"107"	"10799"	"108"	"-"	"-"	"25130"	"1257"	"12845"	"1484"	"44"	"-"	"-"	"-"
"2010. 01"	"6740"	"674"	"11151"	"112"	"11495"	"115"	"-"	"-"	"25052"	"1253"	"13109"	"1612"	"48"	"-"	"-"	"-"
"2010. 02"	"5884"	"588"	"11001"	"110"	"11374"	"114"	"-"	"-"	"22847"	"1142"	"14942"	"1217"	"34"	"-"	"-"	"-"
"2010. 03"	"6256"	"626"	"15061"	"151"	"19529"	"195"	"-"	"-"	"26731"	"1337"	"15401"	"1179"	"31"	"-"	"-"	"-"
"2010. 04"	"5771"	"577"	"16051"	"160"	"16900"	"169"	"-"	"-"	"29727"	"1486"	"9238"	"1142"	"32"	"-"	"-"	"-"
"2010. 05"	"6941"	"694"	"20054"	"201"	"20913"	"209"	"-"	"-"	"37293"	"1865"	"11296"	"1176"	"35"	"-"	"-"	"-"
"2010. 06"	"7053"	"705"	"18918"	"189"	"18448"	"184"	"-"	"-"	"35786"	"1789"	"11933"	"1101"	"37"	"-"	"-"	"-"
"2010. 07"	"7950"	"795"	"17941"	"179"	"16530"	"165"	"-"	"-"	"35610"	"1781"	"10452"	"1320"	"49"	"-"	"-"	"-"
"2010. 08"	"8922"	"892"	"17352"	"174"	"16744"	"167"	"-"	"-"	"35436"	"1772"	"12996"	"1309"	"52"	"-"	"-"	"-"
"2010. 09"	"7764"	"776"	"15629"	"156"	"16209"	"162"	"-"	"-"	"34784"	"1739"	"12165"	"1360"	"48"	"-"	"-"	"-"
"2010. 10"	"7479"	"748"	"14761"	"148"	"15203"	"152"	"-"	"-"	"33180"	"1659"	"11361"	"1389"	"46"	"-"	"-"	"-"
